,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
119,E07000087,Fareham,106319.0,453774.0,"116,338",45,84.78,82.29,"28,148"
120,E07000088,Gosport,101088.0,458769.0,"84,679",40,83.08,79.09,"23,800"
121,E07000089,Hart,154240.0,477985.0,"97,608",50,85.29,83.13,x
122,E07000090,Havant,108564.0,470178.0,"126,339",40,83.57,80.66,"24,514"
123,E07000091,New Forest,106521.0,428748.0,"179,649",125,85.54,82.09,"24,048"
124,E07000092,Rushmoor,153944.0,486022.0,"94,387",35,83.3,80.66,"27,444"
125,E07000093,Test Valley,137329.0,434930.0,"127,163",85,84.83,81.43,x
126,E07000094,Winchester,125901.0,453115.0,"125,925",120,85.59,81.47,"28,622"
127,E07000095,Broxbourne,204251.0,534742.0,"97,592",30,84.9,80.34,"28,710"
128,E07000096,Dacorum,208745.0,500084.0,"155,457",85,84.13,81.66,"28,176"
129,E07000098,Hertsmere,199352.0,519774.0,"105,471",50,84.39,80.36,"29,730"
130,E07000099,North Hertfordshire,230256.0,522192.0,"133,463",100,84.14,81.02,"31,323"
131,E07000102,Three Rivers,196418.0,507313.0,"93,966",45,84.22,81.34,"27,844"
132,E07000103,Watford,198197.0,510441.0,"96,623",45,82.46,79.31,"27,975"
133,E07000105,Ashford,140644.0,597640.0,"131,018",85,84.1,80.56,"25,126"
134,E07000106,Canterbury,158096.0,616032.0,"166,762",110,83.59,79.3,"25,040"
135,E07000107,Dartford,172917.0,556167.0,"114,051",50,82.48,79.77,"29,473"
136,E07000108,Dover,150942.0,628964.0,"118,514",90,82.81,79.62,"27,108"
137,E07000109,Gravesham,169114.0,566969.0,"106,890",65,83.7,79.54,"25,639"
138,E07000110,Maidstone,151670.0,580489.0,"173,132",105,83.73,80.41,"26,649"
139,E07000111,Sevenoaks,155218.0,552776.0,"121,387",90,84.42,82.42,"30,163"
140,E07000112,Folkestone and Hythe,134595.0,610318.0,"113,320",90,82.85,79.27,"25,967"
141,E07000113,Swale,161818.0,593583.0,"151,015",105,82.67,79.16,"25,995"
142,E07000114,Thanet,166752.0,631839.0,"141,458",110,82.57,77.89,"21,064"
143,E07000115,Tonbridge and Malling,153898.0,564014.0,"132,571",65,84.75,80.43,"29,633"
144,E07000116,Tunbridge Wells,136599.0,573139.0,"118,939",80,84.56,81.48,"30,453"
145,E07000117,Burnley,430882.0,384886.0,"89,344",40,80.75,76.02,"22,175"
146,E07000118,Chorley,419724.0,359189.0,"118,870",80,82.41,78.89,"25,016"
147,E07000119,Fylde,433811.0,339554.0,"81,211",45,83.34,79.74,"27,608"
148,E07000120,Hyndburn,428971.0,374407.0,"81,133",45,81.11,76.91,"22,725"
